key,title,triggers,response,suggestions,tags
cut-help,Cut Selection Help,"what cuts|which cuts|cut list|cut breakdown|best cuts|cut options","Butch can break down exactly what you get from a whole or half hog or lamb — primal cuts, estimated weights, and pricing. Use the calculator on the Products page for a weight-based estimate.","Bring in Butch|Calculate a whole hog|Calculate a half lamb","cuts|calculator"
auctions,Auctions,"auction|upcoming auction|livestock sale|sale barn|where to buy livestock","We list regional livestock auctions on our Auctions page. If you're looking to buy or sell Katahdin sheep at auction, check there for upcoming dates and locations.","View Auctions|View Livestock|Contact Us","auctions"
blog,Farm Blog,"blog|articles|news|updates|learn about farming|read about|educational","The Blog page has articles on Katahdin sheep, farm management, livestock care, and updates from Shiloh Ridge Farm.","Go to Blog|Tell Me About Katahdins","blog|education"
greeting,Greeting,"hello|hi there|hey|good morning|good afternoon|howdy|greetings","Hey there! I'm Shep, Shiloh Ridge Farm's assistant. I can help with questions about our Katahdin sheep, livestock, products, location, or ordering. What would you like to know?","Tell me about the farm|View Livestock|Go to Products","greeting"
nav-view-livestock,How to View Livestock,"where do i see livestock|show me animals|see available animals|view current inventory|browse animals|livestock page","Head over to the Livestock page to browse our current animals. Each listing has photos, registration details, sex, price, and a contact form so you can inquire or make an offer directly.","View Livestock|Contact About an Animal","navigation|livestock"
nav-view-products,How to View Products,"where do i see products|show me products|browse meat|product page|view products|product catalog","The Products page has everything we currently offer — hog, lamb, eggs, and heritage chickens. Each listing shows availability, pricing, and lets you add to cart or ask Butch for a cut estimate.","Go to Products|Bring in Butch","navigation|products"
nav-reserve-animal,How to Reserve an Animal,"how do i reserve|reserve an animal|put a hold on|claim an animal|first dibs|hold for me","To reserve an animal, use the inquiry form on its Livestock page listing or contact Dominic directly at (660) 254-6226. Reservations are confirmed by Dominic on a first-come basis.","View Livestock|Contact Us","navigation|reservation"
nav-order-meat,How to Order Meat,"how do i order meat|buy farm meat|order lamb|order pork|buy pork|buy lamb|get meat from farm","Start on the Products page and add items to your cart. You'll need a customer account to complete checkout. For whole or half animal orders, ask Butch first for a cut estimate and estimated cost.","Go to Products|Bring in Butch|Create Account","navigation|ordering"
nav-mobile-help,Mobile Visitor Help,"mobile|phone|on my phone|website on mobile|hard to navigate|not loading right|small screen","The site works on mobile — try refreshing if something looks off. The Livestock and Products pages are the best places to start. Tap the menu at the top to navigate.","View Livestock|Go to Products|Contact Us","navigation|mobile"
nav-confused-fallback,Confused Visitor,"i don't know where to start|not sure|where do i begin|help me navigate|confused|what should i do first","No problem — here's the quick version: we raise Katahdin sheep, hogs, Great Pyrenees dogs, and heritage chickens on a small farm in Maitland, Missouri. Browse livestock on the Livestock page, shop meat and eggs on Products, or reach us any time at (660) 254-6226.","View Livestock|Go to Products|Contact Us","navigation|general"
farm-values,Farm Values,"farm values|your values|what do you believe|why farming|philosophy|mission|what matters to you|care about animals","We're a family farm that believes in raising animals the right way — on pasture, with good care, for families who want to know where their food comes from. Dominic runs Shiloh Ridge as both a livelihood and a responsibility.","Tell Me About the Farm|Contact Us","farm|values"
farm-family-farm,Family Farm,"family farm|small farm|who owns|who runs|is this a family operation|how big","Shiloh Ridge is a small family farm owned and operated by Dominic Hanway in Maitland, Missouri. It's a hands-on operation — not a commercial feedlot.","Tell Me About the Farm|Contact Us","farm|about"
farm-direct-sales,Direct Farm Sales,"direct from farm|farm to table|buy direct|no middleman|why buy from farm|why not grocery store","Buying direct from Shiloh Ridge means you know exactly what you're getting — animals raised on our own farm, processed at an inspected facility, and delivered or picked up fresh. No grocery store middleman.","Go to Products|Contact Us","farm|direct-sales"
farm-why-buy-local,Why Buy Local Meat,"why local|local meat|buy local|support local|local farm beef|local pork|local lamb|local food","Local farm-raised meat is fresher, traceable, and raised by someone you can actually call. You're supporting a Missouri family farm and getting a better product than what's on most store shelves.","Go to Products|Tell Me About the Farm","farm|local|education"
farm-raised-meat,What Farm-Raised Means,"farm raised|pastured|what does farm raised mean|how are animals raised|natural|humane","Our animals are raised on our property in Maitland, Missouri — pasture access, good feed, and hands-on care. They're processed at an inspected facility and packaged for your freezer. That's what farm-raised means here.","Go to Products|Tell Me About the Farm","farm|practices|education"
farm-buyer-expectations,Buyer Expectations,"what to expect|buying from a farm|first time buyer|buying farm meat|expectations|what is the process","Buying from a farm is a little different from a grocery store. You'll select your animal or product, place an order or reserve, pay a deposit if applicable, then pick up or arrange delivery when it's ready. Dominic will walk you through everything.","Go to Products|Contact Us","farm|education|buying"
farm-visit-expectations,Farm Visit Information,"can i visit|visit the farm|come to the farm|on-farm visit|see the animals|farm tour|see your sheep","We welcome serious buyers, but farm visits are by appointment — please contact us before coming out so Dominic can be available to help you. Call or email ahead: (660) 254-6226 or shilohridgefarm@gmail.com.","Contact Us|Get Directions","farm|visit|appointment"
farm-appointment-only,Appointment Only,"appointment|do i need an appointment|just show up|drop in|walk in","Yes — please contact us before visiting the farm. We're a working farm and Dominic isn't always available without notice. A quick call at (660) 254-6226 makes sure your trip is worth the drive.","Contact Us","farm|visit|appointment"
katahdin-why-hair,Why Hair Sheep,"why hair sheep|hair sheep benefits|why katahdin not wool|advantages of hair sheep|no fleece|no wool sheep","Hair sheep like Katahdins don't produce commercial wool — they shed naturally every spring. That means no shearing cost or labor, lower overhead, and more time focused on meat production and flock health.","Tell Me About Katahdins|View Livestock","katahdin|breed|education"
katahdin-no-shearing,No Shearing Needed,"do you shear|do katahdins need shearing|shearing sheep|do they need haircuts|trim wool","Katahdins shed their own coats every spring — no shearing required. That's one of the big advantages of the breed. No shearing equipment, no shearing crew, no lanolin-covered fleece to deal with.","Tell Me About Katahdins|View Livestock","katahdin|breed|education"
katahdin-parasite-resistance,Parasite Resistance,"parasite resistance|parasite resistant|worms|barber pole worm|haemonchus|deworming","Katahdins are known for above-average resistance to internal parasites, especially barber pole worm — a major issue in humid states like Missouri. We still monitor and manage flock health, but the breed's genetics are a real advantage here.","Tell Me About Katahdins|Contact About Health Records","katahdin|health|breed"
katahdin-heat-tolerance,Heat Tolerance,"heat tolerant|hot climate|summer heat|heat stress|do they handle heat|missouri heat","Katahdins handle Missouri summers well. Their hair coat (not heavy wool) and heat-tolerant genetics make them more comfortable in warm, humid conditions than many traditional wool breeds.","Tell Me About Katahdins|View Livestock","katahdin|breed|education"
katahdin-mothering,Maternal Ability,"maternal instinct|mothering ability|do they take care of lambs|good mothers|ewe raising lambs|lamb survival","Katahdin ewes are excellent mothers — good milk production, attentive to their lambs, and tend to have low assistance requirements at lambing. Strong maternal traits are part of what we select for in our flock.","Tell Me About Katahdins|View Livestock","katahdin|breed|education"
katahdin-meat-quality,Lamb Meat Quality,"katahdin meat quality|is lamb good|how does lamb taste|mild lamb|tender lamb|does katahdin lamb taste strong","Katahdin lamb is known for its mild, clean flavor — less gamey than some traditional wool breed lamb. The meat-focused genetics produce well-muscled carcasses with good yield and quality marbling.","Tell Me About Katahdins|Go to Products","katahdin|meat|education"
katahdin-low-maintenance,Low-Maintenance Breed,"low maintenance sheep|easy sheep|beginner sheep breed|less work|easy to care for|self-sufficient|independent sheep","Katahdins are one of the lower-maintenance sheep breeds. No shearing, good parasite resistance, strong maternal instincts, and generally hardy in Missouri's climate. They're a practical choice for small farms and serious operations alike.","Tell Me About Katahdins|View Livestock","katahdin|breed|education"
katahdin-vs-wool,Hair vs Wool Sheep,"difference between hair and wool|hair sheep vs wool sheep|katahdin vs merino|wool sheep comparison|do katahdins produce wool","The key difference: wool sheep grow heavy fleece that must be sheared annually, while hair sheep like Katahdins shed naturally. Hair breeds typically have lower overhead, better heat tolerance, and are primarily selected for meat production rather than fiber.","Tell Me About Katahdins","katahdin|education|breed"
katahdin-small-farms,Katahdins for Small Farms,"katahdin for small farm|good for beginners|small flock|homestead sheep|backyard sheep|first sheep","Katahdins are a popular choice for small farms and homesteads. Their low-maintenance nature, moderate size, good meat yield, and forgiving temperament make them practical for owners who are managing everything themselves.","Tell Me About Katahdins|View Livestock|Contact Us","katahdin|small-farm|education"
buy-lambs,Buying Lambs,"buy a lamb|purchase a lamb|how do i get a lamb|lamb for sale|market lamb","We have lambs available depending on the season. Check the Livestock page for current listings, or contact Dominic to ask about upcoming availability. You can also submit an inquiry directly from any listing.","View Livestock|Contact About an Animal","livestock|buying|lambs"
buy-rams,Buying Rams,"buy a ram|purchase a ram|breeding ram|stud ram|want a ram","Breeding rams are available seasonally from our KHSI-registered flock. Check the Livestock page for current listings with registration details, or contact us to ask about upcoming availability.","View Livestock|Contact Us","livestock|buying|rams"
buy-ewes,Buying Ewes,"buy a ewe|purchase ewes|breeding ewe|female sheep|buy female sheep|ewe lambs","We sell Katahdin ewes and ewe lambs as breeding stock. Current listings are on the Livestock page with photos, pedigree info, and pricing. Contact Dominic to discuss specific needs for your flock.","View Livestock|Contact Us","livestock|buying|ewes"
breeding-stock-explained,Breeding Stock Explained,"what is breeding stock|breeding quality|why buy registered|registered breeding stock|what makes breeding stock","Breeding stock animals are sold for reproductive purposes — building or improving a flock. Ours are KHSI-registered with documented pedigrees, health records, and selection traits like parasite resistance, muscling, and mothering ability on record.","View Livestock|Contact About Breeding Stock","livestock|breeding|education"
market-lamb-explained,Market Lamb Explained,"market lamb|what is a market lamb|market weight lamb|show lamb|feeder lamb","A market lamb is raised for meat, typically sold at or near processing weight. We sell both breeding stock and market-weight lambs depending on current inventory. Check the Livestock page or contact us.","View Livestock|Contact Us","livestock|education|lambs"
starter-flock-guidance,Starting a Flock,"starter flock|starting out with sheep|first sheep|how many to start|beginning flock|starting a flock","For a starter flock, most beginners do well with two to five ewes and a proven ram to start. Katahdins are forgiving for new shepherds. Contact Dominic — he can help match animals to your setup and goals.","Contact Us|View Livestock","livestock|education|breeding"
ram-selection,Ram Selection Basics,"how to pick a ram|what to look for in a ram|choosing a ram|ram conformation|ram genetics","When selecting a ram, look at EPDs if available, body condition and muscling, scrotal circumference, teeth, feet, and temperament. Registration and documented pedigree tell you something about what he'll pass on. Contact Dominic to discuss what works for your flock.","Contact Us|View Livestock","livestock|education|rams"
ewe-selection,Ewe Selection Basics,"how to pick a ewe|choosing ewes|what to look for in a ewe|ewe quality|good ewe","Good ewes should have a strong maternal record (or come from one), good feet, sound udder structure, and a body type that shows muscle and condition without being overweight. Our ewes are selected from our own flock — ask about individual records.","Contact Us|View Livestock","livestock|education|ewes"
replacement-ewe,Replacement Ewes,"replacement ewe|replacement female|culling ewes|ewe lamb as replacement|new ewe for flock","Replacement ewes are young females kept or sold to maintain or improve a breeding flock. We select ours from our best-producing mothers. If you're looking for replacements, contact Dominic with your flock goals.","Contact Us|View Livestock","livestock|breeding|education"
bottle-lamb,Bottle Lambs,"bottle lamb|orphan lamb|rejected lamb|hand raised lamb|pet lamb","Bottle lambs come up occasionally on any farm. Contact Dominic if you're interested — availability isn't predictable and won't always be listed on the website.","Contact Us","livestock|lambs|education"
sheep-beginner-friendly,Are Sheep Beginner Friendly,"are sheep easy|can beginners raise sheep|is sheep farming hard|easy to raise|good for first time","Katahdin sheep are one of the more forgiving breeds for beginners — low maintenance, good instincts, and no shearing. That said, all livestock require proper fencing, water, feed, and basic health management. Happy to point you toward resources if you're just starting out.","Tell Me About Katahdins|Contact Us","livestock|education|beginner"
what-to-ask-buying,What to Ask Before Buying Sheep,"what questions to ask|what to ask the farmer|before buying sheep|due diligence|checklist before buying","Good questions before buying: What's the animal's health history? Is it registered and does it come with papers? How old? What's its parasite resistance history? Any prior lambing records for ewes? Dominic can answer all of these for any animal on our listing.","View Livestock|Contact Us","livestock|education|buying"
prepare-for-pickup,Preparing for Livestock Pickup,"how to prepare for pickup|what do i need to pick up sheep|before i come get my animal|ready to pick up","Before pickup: confirm the date with Dominic, have a clean trailer with proper bedding, bring any required paperwork or payment balance. Have water and feed ready at your destination. First-timers — just ask, Dominic is happy to walk you through it.","Contact Us","livestock|buying|logistics"
trailer-transport,Trailer and Transport,"how to transport sheep|trailer for sheep|what trailer|haul sheep|livestock trailer","Sheep can be transported in a standard livestock or stock trailer with adequate ventilation and non-slip bedding. Even a small utility trailer works for a few animals. Avoid overloading and plan for water access on longer hauls. Contact us if you need guidance.","Contact Us","livestock|transport|logistics"
livestock-reservation,Livestock Reservation Process,"reservation process|how to hold an animal|reserve before buying|put my name on it|how reservations work","To reserve an animal, contact Dominic directly — call (660) 254-6226 or email shilohridgefarm@gmail.com. He'll confirm availability and any deposit requirements. Reservations are on a first-come, first-served basis.","Contact Us|View Livestock","livestock|reservation|process"
what-registered-means,What Registered Means,"what does registered mean|registered animal|what is a registered sheep|why does registration matter","A registered animal has a documented pedigree on file with a breed association (ours are KHSI — Katahdin Hair Sheep International). Registration confirms parentage, birth type, and breed purity. It's important for buyers building a serious breeding program.","Tell Me About KHSI|View Livestock","registration|education"
khsi-explained,KHSI Explained,"khsi|katahdin hair sheep international|what is khsi|breed registry|breed association|sheep registry","KHSI stands for Katahdin Hair Sheep International — the official breed registry for Katahdin sheep. Registration through KHSI documents sire, dam, birth type, genotype, and performance data. Our flock is KHSI-registered.","Tell Me About Katahdins|View Livestock","registration|khsi|education"
why-paperwork-matters,Why Registration Papers Matter,"why do papers matter|registration papers|why bother with papers|is registration important|worth the paperwork","Registration papers prove an animal's pedigree. For breeding stock buyers, papers let you verify what you're buying, enroll offspring in the registry, and build a documented flock over time. Unregistered animals can't produce registered offspring.","Tell Me About KHSI|Contact About Breeding Stock","registration|education"
ear-tags-ids,Ear Tags and IDs,"ear tags|tag numbers|animal id|how are they identified|scrapie tags|what do the tags mean","All our animals carry identification tags. KHSI-registered sheep have their registration number and flock ID on file. We can provide full ID records with any purchase.","View Livestock|Contact Us","registration|identification"
flock-records,Flock Records,"flock records|production records|do you keep records|breeding records|health history|documentation","We maintain individual animal records including birth type, sire and dam, registration number, health history, and production notes. Ask Dominic for records on any specific animal you're considering.","Contact Us|View Livestock","registration|records"
transfer-paperwork,Transfer Paperwork,"transfer paperwork|registration transfer|how to transfer papers|change of ownership|transfer registration","When you purchase a KHSI-registered animal, we provide the transfer documentation needed to register the animal in your name with KHSI. Ask Dominic — he handles the transfer process.","Contact Us","registration|transfer"
breeding-records,Breeding Records,"breeding records|who is the sire|who is the dam|parentage|sire information|dam information","Each registered animal's record includes sire name and tag, dam name and tag, birth type (single/twin), and genotype where available. All of this is on the KHSI certificate and in our flock records.","Contact Us|View Livestock","registration|breeding|records"
pedigree-questions,Pedigree Questions,"pedigree|bloodline|family history|ancestry|genetic background|what line","We can provide pedigree information for all registered animals. Contact Dominic directly for specifics — he knows the flock well and can walk you through any animal's background.","Contact Us|View Livestock","registration|pedigree"
health-basic-fallback,Basic Health Questions,"is the animal healthy|health status|how healthy|health of your animals|well cared for","We maintain a healthy, managed flock — animals are monitored, vaccinated, and treated as needed. Specific health records for individual animals are available — ask Dominic when you're considering a purchase.","Contact Us|View Livestock","health|education"
vaccination-status,Vaccination Status,"vaccinated|do you vaccinate|what vaccines|vaccination records|shots","Vaccination protocols vary by animal and season. Individual health records are available for animals you're considering purchasing. Contact Dominic for specifics.","Contact Us","health|vaccination"
parasite-management,Parasite Management,"parasite management|how do you manage parasites|worming|fecal egg count|famacha|deworming protocol","We manage parasites using a targeted selective treatment approach — fecal egg count monitoring and FAMACHA scoring rather than blanket deworming. Katahdins' genetic resistance helps, but we stay on top of flock health actively.","Tell Me About Katahdins|Contact Us","health|parasites|management"
hoof-care,Hoof Care,"hoof care|hoof trimming|feet|footrot|do you trim hooves|foot health","Hoof care is part of routine flock management. We trim as needed and monitor for foot problems. Animals offered for sale are in good feet condition. Contact Dominic if you have specific concerns about a listing.","Contact Us|View Livestock","health|hoofcare"
mineral-needs,Mineral Needs,"minerals|mineral supplementation|what minerals do sheep need|selenium|copper|salt blocks","Sheep have specific mineral needs — including selenium and copper at appropriate levels for the region. We provide appropriate mineral supplementation for our flock. Missouri soils can be selenium-deficient, which is something to plan for.","Contact Us","health|nutrition|minerals"
shelter-basics,Shelter Requirements,"shelter|barn|how much shelter|what kind of shelter|do sheep need a barn|sheep housing","Sheep need protection from wind, rain, and extreme cold — especially lambs. A three-sided run-in shed is often sufficient. Full barn housing is helpful but not always required. Your setup will depend on your climate and flock size.","Contact Us","livestock|housing|education"
fencing-basics,Fencing for Sheep,"fencing|what fence for sheep|sheep fence|how to fence|electric fence|woven wire","Sheep respect woven wire or high-tensile electric fencing. Barbed wire is not recommended. A 47-inch woven wire fence with one electric wire at the top is a common and effective setup. Guardian dogs change your fencing calculations — contact us if you're setting up for dogs too.","Contact Us","livestock|fencing|education"
water-requirements,Water Requirements,"water|how much water|do sheep need water|watering sheep|water trough|drinking water","Sheep need constant access to clean, fresh water — roughly a gallon per head per day, more in heat or when lactating. Automatic waterers or large troughs work well. Don't underestimate water needs in summer.","Contact Us","livestock|water|care"
quarantine-new-animals,Quarantine New Animals,"quarantine|new animals|biosecurity|introducing new sheep|biosecurity protocol|isolation period","Any new animals entering your flock should be quarantined for 30 days — this protects your existing herd from introducing disease or parasites. Keep new arrivals separate, monitor closely, and do a fecal test during the quarantine period.","Contact Us","livestock|biosecurity|health"
vet-questions,Veterinary Questions,"vet|veterinarian|do you have a vet|recommend a vet|health emergency|sick animal|veterinary care","For specific health questions or emergencies, always work with a licensed veterinarian. We're not a vet service and can't give medical diagnoses. We can share what we do on our farm, but your animals need a vet relationship for their care.","Contact Us","health|vet|disclaimer"
animal-condition,Animal Condition Questions,"what condition|body condition|is the animal in good shape|fat score|thin sheep|skinny animal|over or underweight","Body condition scoring (BCS) on a 1–5 scale is how we assess condition — we target 2.5–3.5 for most animals. Ask Dominic about the BCS of specific animals you're considering. Photos and in-person inspection are always best before purchase.","Contact Us|View Livestock","health|condition|education"
farm-raised-lamb-explained,Farm-Raised Lamb,"what is farm raised lamb|your lamb|how is it different|local lamb|pasture raised lamb|fresh lamb","Our lamb comes from Katahdin sheep raised on our farm in Maitland, Missouri. They're processed at an inspected facility and packaged for your freezer. You're getting real, traceable farm-raised meat — not commodity product.","Go to Products|Bring in Butch","products|lamb|education"
farm-raised-pork-explained,Farm-Raised Pork,"what is farm raised pork|your pork|how is your pork raised|local pork|farm hog|fresh pork","We raise hogs on our farm and sell them as whole or half hog packages with custom cut options. Processed at an inspected facility, packaged fresh, and ready for your freezer.","Go to Products|Bring in Butch","products|pork|education"
whole-hog-explained,Whole Hog Explained,"what is a whole hog|whole hog order|what do i get with a whole hog|whole hog purchase|full hog","A whole hog order means you're buying the full animal, processed and cut to your specifications. You'll get all the major primal cuts — chops, shoulders, hams, bacon, ribs, sausage, and more. Ask Butch for a full weight and pricing breakdown.","Bring in Butch|Go to Products","products|pork|education"
half-hog-explained,Half Hog Explained,"what is a half hog|half hog order|half of a hog|split hog|half pig","A half hog is exactly what it sounds like — half the animal, split lengthwise. You get a proportional share of all the cuts: chops, shoulder, ham, bacon, ribs, and sausage options. A good choice for smaller families or first-time buyers.","Bring in Butch|Go to Products","products|pork|education"
whole-lamb-explained,Whole Lamb Explained,"what is a whole lamb|whole lamb order|buy a whole lamb|entire lamb","A whole lamb order gives you the full carcass processed to your cut preferences — leg roasts, loin chops, shoulder, rack, shanks, ground lamb, and more. Ask Butch for a weight estimate and pricing breakdown.","Bring in Butch|Go to Products","products|lamb|education"
cut-basics,Butcher Cut Basics,"what are cuts|what is a cut|how do cuts work|primal cuts|what cuts do i get","When you buy a whole or half animal, it gets cut into specific sections at the processor — chops, roasts, ground, ribs, and so on. You typically fill out a cut sheet telling the processor how you want it done. Butch can walk you through what's available.","Bring in Butch|Calculate a whole hog","products|education|cuts"
custom-processing,Custom Processing Explained,"custom processing|custom cut|choose my cuts|cut sheet|custom order","Custom processing means you tell the butcher how you want your animal cut — thickness of chops, bone-in vs boneless, how to handle trim, sausage options, etc. We work with inspected processors and will walk you through the cut sheet process.","Bring in Butch|Contact Us","products|processing|education"
hanging-weight-explained,Hanging Weight Explained,"hanging weight|what is hanging weight|carcass weight|hanging weight vs packaged|take-home weight","Hanging weight is the weight of the carcass after slaughter but before cutting and trimming. Your final take-home weight will be less — typically 65–75% of hanging weight depending on cut choices. Ask Butch for specific estimates.","Bring in Butch","products|education|pricing"
deposit-explained,Deposit Explained,"deposit|down payment|how much deposit|why deposit|refundable deposit","Deposits are collected to hold your animal or order in the queue. They confirm your order is serious and help us plan processing schedules. Contact Dominic for current deposit requirements on specific orders.","Contact Us|Go to Products","ordering|payment|deposit"
pickup-process,Pickup Process,"how does pickup work|where do i pick up|pickup from farm|pickup at processor|how to get my order","For livestock, pickup is at the farm. For processed meat orders, you'll typically pick up directly from the processor once the order is ready. Dominic will contact you with details when your order is scheduled.","Contact Us|Go to Products","ordering|pickup|logistics"
product-availability-note,Product Availability,"is it in stock|do you have it|currently available|availability|in season|out of stock","Availability changes regularly. The Products page shows current listings — what's there is what's available. For livestock, the Livestock page is current. If you don't see what you need, contact Dominic — upcoming inventory isn't always listed yet.","Go to Products|View Livestock|Contact Us","products|availability|note"
live-vs-processed,Live Animal vs Processed Meat,"live animal vs processed|buy live or processed|what is the difference|live sheep vs meat","We sell livestock (live animals) and processed meat products separately. Live animals go to buyers as breeding stock or for their own processing. Processed meat (hog and lamb packages) is already done and ready for your freezer. Both are on their respective pages.","View Livestock|Go to Products","education|products|livestock"
deposits-ordering,How Deposits Work,"how do deposits work|do i pay upfront|deposit required|how much do i pay now","Deposits secure your place in the processing queue. The remainder is typically due at pickup. For exact deposit amounts, contact Dominic or check the product listing details.","Contact Us|Go to Products","ordering|deposit|payment"
payment-methods,Payment Methods,"how to pay|payment options|do you take card|cash|check|venmo|zelle|payment methods","Payment methods vary. Contact Dominic directly to confirm what's accepted for your specific order. Most farm purchases can be handled by cash, check, or card depending on the transaction.","Contact Us","ordering|payment"
pickup-scheduling,Scheduling Pickup,"schedule pickup|when can i pick up|set a pickup time|arrange pickup|coordinate pickup","Dominic will contact you directly to coordinate pickup once your order is ready. For livestock, arrange pickup timing when you confirm your purchase. Call (660) 254-6226 to schedule.","Contact Us","ordering|pickup|scheduling"
delivery-availability,Delivery Options,"do you deliver|can you bring it to me|delivery available|delivery distance|can you ship meat","Contact Dominic to discuss delivery options. Local and regional arrangements may be possible depending on order size and location. We do not ship meat through the mail.","Contact Us","ordering|delivery"
missed-pickup,Missed Pickup,"missed pickup|couldn't make it|reschedule pickup|pickup issue|ran into a problem","If you can't make your scheduled pickup, call Dominic at (660) 254-6226 as soon as possible. We'll do our best to work something out. Don't just not show — storage has limits at the processor.","Contact Us","ordering|pickup|issues"
special-requests,Special Requests,"special request|unusual cut|specific cut request|custom order|something specific|not on the list","Reach out to Dominic directly for anything specific — custom cuts, unusual requests, or orders that aren't listed on the website. He can tell you what's possible and what isn't.","Contact Us","ordering|custom|requests"
bulk-order,Bulk Order Guidance,"bulk order|large order|ordering a lot|group order|family order|stock the freezer|multiple animals","If you're stocking a large freezer or ordering for a family group, contact Dominic to discuss options. Buying a whole animal is usually the best value for a well-stocked freezer.","Contact Us|Bring in Butch","ordering|bulk|planning"
family-freezer-planning,Family Freezer Planning,"family freezer|how much meat for a family|feeding a family|year supply of meat|family meat supply","A whole hog feeds a family of four for several months, depending on consumption. A whole lamb is great for variety. Butch can estimate take-home weights and costs so you can plan your freezer budget.","Bring in Butch|Go to Products","ordering|planning|family"
unsure-fallback,Unsure What to Do,"not sure|don't know|help|what should i do|i'm lost|confused","No worries — I'm here to help. Tell me what you're looking for and I'll point you in the right direction. You can also call Dominic directly at (660) 254-6226 if you'd rather talk to a person.","Tell Me About the Farm|View Livestock|Go to Products","general|fallback"
ask-dominic,Ask Dominic Directly,"ask dominic|talk to someone|real person|speak to the owner|contact the farmer|not a chatbot","For anything specific, call or email Dominic directly. Phone: (660) 254-6226. Email: shilohridgefarm@gmail.com or dominichanway@gmail.com. He's the one who knows every animal on this farm.","Contact Us","contact|lead-capture"
best-availability,Best Way to Check Availability,"how do i know what's available|check current availability|real-time inventory|most up to date|current stock","The Livestock and Products pages show current availability. For the freshest info on upcoming animals or seasonal products, call or email Dominic — not everything makes it onto the website immediately.","View Livestock|Go to Products|Contact Us","availability|lead-capture"
best-pricing,Best Way to Get Pricing,"current prices|up to date prices|pricing info|how much does it cost today|pricing right now","Prices are listed on the Livestock and Products pages where available. For custom orders, whole animal pricing, or anything not listed, contact Dominic directly — he can give you an accurate number.","Go to Products|Contact Us","pricing|lead-capture"
