key,title,triggers,response,suggestions,tags
lamb-how-much-meat,How Much Meat from a Lamb,"how much meat from a lamb|lamb yield|take home from lamb|pounds of lamb","A whole Katahdin lamb typically yields 30–44 lbs of finished cuts. A half lamb yields 15–22 lbs. Exact yield depends on the animal's size and your cut choices.","Calculate a whole lamb|How much freezer space for lamb?","lamb|yield|education"
lamb-flavor,How Does Lamb Taste,"how does lamb taste|is lamb gamey|lamb flavor|does katahdin lamb taste strong|lamb vs beef","Katahdin lamb is known for its mild, clean flavor — noticeably less gamey than many traditional wool-breed lambs. The meat-focused genetics and Missouri grass diet produce a well-rounded flavor that surprises most first-timers.","Try a whole lamb|Go to Products","lamb|flavor|education"
lamb-first-time,First Time Buying Lamb,"never bought lamb|first time with lamb|new to lamb|don't know lamb cuts","Lamb is simpler than people expect. A whole or half lamb comes with a cut sheet where you choose how you want it processed — chops, roasts, ground lamb, or shanks. I can walk you through what to expect.","Calculate a whole lamb|What cuts from a lamb?","lamb|first-time|education"
lamb-whole-vs-half,Whole vs Half Lamb,"whole lamb vs half|should i get whole or half lamb|difference whole half lamb","Whole lamb gives better value per pound and more variety. Half lamb is great for first-time buyers or smaller families. Katahdin lambs are moderate-sized — a whole isn't overwhelming for a family of four.","Calculate a whole lamb|Calculate a half lamb","lamb|comparison|buying"
lamb-cuts,Cuts from a Lamb,"what cuts do i get from a lamb|lamb cuts list|what comes from a lamb|cuts from lamb","From a whole lamb: leg roasts, loin chops, shoulder, rack of lamb, shanks, ground lamb, stew meat, and soup bones. Specific options depend on your cut sheet choices and processor.","Calculate a whole lamb|How much freezer space for lamb?","lamb|cuts|education"
lamb-katahdin-quality,Katahdin Lamb Quality,"katahdin lamb|is katahdin lamb good|why katahdin|quality of katahdin meat","Katahdin sheep are a meat-breed hair sheep — selected for muscle, yield, and carcass quality rather than wool. The result is a mild, well-muscled lamb with good fat coverage and less lanolin flavor than traditional breeds.","Tell Me About Katahdins|Go to Products","lamb|katahdin|quality"
lamb-vs-mutton,Lamb vs Mutton,"difference between lamb and mutton|what is mutton|lamb vs mutton","Lamb comes from animals under one year old (some define it as under two). Mutton comes from older sheep and has a stronger, more pronounced flavor. We sell lamb, not mutton.","Go to Products|Tell Me About the Farm","lamb|education"
lamb-seasonal,Is Lamb Seasonal,"is lamb available year round|seasonal lamb|when is lamb available","Lamb availability depends on our flock's production schedule. Check the Products page for current availability, or contact Dominic to ask about upcoming processing dates.","Go to Products|Contact Us","lamb|availability|season"
freezer-whole-hog,Freezer Space for Whole Hog,"freezer space whole hog|how much room for whole hog|whole hog freezer|cubic feet whole hog","A whole hog typically needs 8–10 cubic feet of freezer space. That's roughly a 10-cubic-foot chest freezer, about half full. Exact space depends on cut choices and packaging.","Calculate a whole hog|What kind of freezer?","freezer|planning|pork"
freezer-half-hog,Freezer Space for Half Hog,"freezer space half hog|how much room for half hog|half hog freezer|cubic feet half hog","A half hog typically needs 4–5 cubic feet. That fits comfortably in a small chest freezer or the bottom of a standard upright.","Calculate a half hog|What kind of freezer?","freezer|planning|pork"
freezer-whole-lamb,Freezer Space for Whole Lamb,"freezer space whole lamb|how much room for lamb|whole lamb freezer|cubic feet lamb","A whole lamb typically needs about 2–3 cubic feet of freezer space. It fits easily alongside other items in a standard chest or upright freezer.","Calculate a whole lamb","freezer|planning|lamb"
freezer-half-lamb,Freezer Space for Half Lamb,"freezer space half lamb|half lamb freezer|cubic feet half lamb","A half lamb needs roughly 1–1.5 cubic feet. Very manageable — fits in any standard freezer alongside your existing groceries.","Calculate a half lamb","freezer|planning|lamb"
freezer-type,What Kind of Freezer,"what kind of freezer|chest freezer or upright|best freezer|what freezer do i need","A chest freezer is the most efficient for bulk meat storage — better energy use and more usable space per cubic foot. Upright freezers work fine too. For a whole hog, a 10-cubic-foot chest freezer is a practical starting point.","How much freezer space for whole hog?","freezer|planning|equipment"
freezer-how-long,How Long Does Frozen Meat Last,"how long does meat last|shelf life|best by|how long in freezer|frozen meat storage","Properly frozen and packaged meat stays at best quality for 12–18 months. After that it's still safe but quality may decline. Date your packages and rotate stock first-in, first-out.","Go to Products","freezer|storage|food-safety"
freezer-packaging,How Is It Packaged,"how is it packaged|vacuum sealed|butcher paper|paper wrap|packaging type","Packaging depends on the processor. Most use vacuum seal or heavy butcher paper wrap. Both work well for freezer storage. Ask Dominic when you book your order for specific packaging options.","Contact Us|Go to Products","freezer|packaging"
freezer-stock-up,Stocking Up for the Year,"stock up for the year|year supply|annual supply|buy for the year|family freezer plan","A whole hog and a whole lamb together give a family of four a well-rounded year's supply of meat — pork variety plus lamb for variety. Budget for a 10–12 cubic foot freezer minimum.","Calculate a whole hog|Calculate a whole lamb","freezer|planning|family"
freezer-ready,Prepare Your Freezer,"prepare freezer|get freezer ready|before pickup|freezer checklist","Before pickup: make sure your freezer is running cold (0°F or below), defrost if needed, and clear enough space. Have a thermometer in the freezer to verify temperature. Meat should go in as soon as you get home.","How much freezer space?","freezer|logistics|pickup"
processing-what-is,What Is Custom Processing,"what is custom processing|what does processing mean|how does it work","Custom processing means your animal goes to a licensed facility, is slaughtered and processed to your specifications, and returned to you packaged and ready for the freezer. You specify how you want it cut via a cut sheet.","What is a cut sheet?|Who processes your animals?","processing|education"
processing-cut-sheet,What Is a Cut Sheet,"what is a cut sheet|cut sheet|how do i fill out a cut sheet|cut instructions","A cut sheet is the form you give the processor telling them exactly how you want your animal cut — chop thickness, bone-in vs boneless, how much ground vs sausage, etc. I can walk you through what to expect for hog or lamb.","What cuts come from a hog?|What cuts come from a lamb?","processing|education|cut-sheet"
processing-hanging-weight,What Is Hanging Weight,"hanging weight|what does hanging weight mean|carcass weight|what is hang weight","Hanging weight is the carcass weight after slaughter, before cutting and trimming. It's used to calculate your cost. Your final take-home weight will be less — roughly 65–75% of hanging weight depending on your cut choices.","Calculate a whole hog|How is price calculated?","processing|education|hanging-weight"
processing-finished-weight,Take-Home vs Hanging Weight,"take home weight|finished weight|packaged weight|how much do i actually get","Take-home (finished) weight is what ends up in your freezer after the processor trims, bones, and packages. For hog, expect roughly 65–72% of hanging weight. For lamb, roughly 65–68%. Exact percentage depends on cut choices.","Calculate a whole hog|Calculate a whole lamb","processing|education|yield"
processing-who,Who Processes the Animals,"who processes|where is it processed|which processor|processing facility|butcher shop","Our animals are processed at an inspected facility. Contact Dominic for the specific processor and facility details for your order.","Contact Us","processing|logistics"
processing-usda,USDA Inspected,"usda inspected|inspected facility|is it inspected|state or federal inspection","We use inspected processing facilities for all farm meat sales. Contact Dominic for specifics on the facility used for your order.","Contact Us","processing|inspection|food-safety"
processing-time,How Long Does Processing Take,"how long does processing take|how long until i get my meat|processing time|lead time","Processing lead time varies by season and processor availability. Current lead times are shown on each product listing. Dominic will contact you with your specific schedule once your order is booked.","Go to Products|Contact Us","processing|timing"
processing-custom-cuts,Can I Choose My Cuts,"can i choose my cuts|custom cuts|specify cuts|pick cuts|choose how it's processed","Yes — that's what the cut sheet is for. You specify chop thickness, bone-in vs boneless, how trim is handled (ground, sausage, or discard), and packaging preferences.","What is a cut sheet?|Calculate a whole hog","processing|custom|education"
processing-options-hog,Hog Processing Options,"hog processing options|what options for hog|what can i request for hog","For hog you can typically request: chop thickness (3/4" or 1"), bone-in or boneless shoulder roasts, fresh or cured hams, belly as bacon or uncured, sausage blend for ground trim, rib style, and whether to return bones and fat.","Calculate a whole hog|What cuts from a hog?","processing|pork|options"
processing-options-lamb,Lamb Processing Options,"lamb processing options|what options for lamb|what can i request for lamb","For lamb you can typically request: leg roast bone-in or boneless, loin chops thickness, shoulder roast or ground, rack of lamb, shanks, and ground lamb from trim.","Calculate a whole lamb|What cuts from a lamb?","processing|lamb|options"
processing-sausage,Sausage Options,"sausage|can i get sausage|fresh sausage|breakfast sausage|sausage from hog","Sausage options depend on your processor. Many will season and stuff sausage links or make fresh ground sausage from your trim. Ask Dominic when you book your order what your processor offers.","Contact Us|Calculate a whole hog","processing|sausage|options"
processing-trim,What About Trim and Scraps,"trim|scraps|organs|head|fat|bones|soup bones|return trim","Most processors can return organs, bones, fat trim, and head upon request — just note it on your cut sheet. Not all processors return everything. Confirm with Dominic when booking.","Contact Us|What is a cut sheet?","processing|trim|options"
pricing-how-works,How Pricing Works,"how does pricing work|how is it priced|how do you charge|pricing model","Butch's calculator gives you a planning estimate. For current live pricing on products, check the Products page or contact Dominic directly — prices can vary by season and animal weight.","Go to Products|Contact Us|Calculate a whole hog","pricing|education"
pricing-hanging-weight-calc,Price Based on Hanging Weight,"price per pound hanging weight|how is price calculated|hanging weight price|cost per pound","Meat products are typically priced per pound of hanging weight plus a flat processing fee. The calculator uses typical farm averages as a planning baseline — final price depends on the actual animal's weight.","Calculate a whole hog|Go to Products","pricing|education|hanging-weight"
pricing-deposit,Is There a Deposit,"deposit required|do i pay a deposit|how much down|reservation deposit|deposit to hold","Deposits are typically required to hold your place in the processing queue. Contact Dominic for current deposit requirements on specific order types.","Contact Us|How to order","pricing|deposit"
pricing-when-pay,When Do I Pay,"when do i pay|payment timing|when is full payment due|balance due at pickup","Typically a deposit is due when you book, with the balance due at pickup. Contact Dominic for current payment terms.","Contact Us|Go to Products","pricing|payment|timing"
pricing-methods,Payment Methods,"how to pay|payment options|cash check card|venmo|payment methods|do you take card","Contact Dominic to confirm accepted payment methods for your specific order. Most farm purchases can be handled by cash, check, or card.","Contact Us","pricing|payment"
pricing-refund,Refund Policy,"can i get a refund|refund policy|if i cancel|deposit refundable|money back","Deposits are typically non-refundable once processing is scheduled. Contact Dominic as early as possible if you need to cancel or change your order.","Contact Us","pricing|refund|policy"
pricing-processing-fee,Processing Fee,"processing fee|butcher fee|what does processing cost|extra fees|hidden costs","Processing fees are charged separately by the processor — typically a flat fee per animal plus per-pound cutting charges. The calculator includes an estimated processing cost in its total. Confirm current fees with Dominic.","Calculate a whole hog|Contact Us","pricing|processing-fee|education"
pricing-estimate,Can Butch Estimate Cost,"can you estimate cost|how much will it cost|estimate my order|cost estimate","Yes — tell me the animal and order size (whole hog, half hog, whole lamb, half lamb) and I'll give you a planning estimate including estimated meat cost and processing fee based on typical farm averages.","Calculate a whole hog|Calculate a whole lamb","pricing|calculator|estimate"
pricing-fluctuates,Do Prices Change,"do prices change|price vary|seasonal prices|price fluctuation|are prices fixed","Prices can vary by season and animal availability. For current pricing, check the Products page or contact Dominic directly — I can only give you planning estimates.","Go to Products|Contact Us","pricing|note|seasonal"
ordering-how-to,How to Place an Order,"how do i place an order|how to order|ordering steps|place an order|buy from shiloh ridge","Start on the Products page — browse current listings and add to cart. You'll need a customer account to checkout. For whole animal orders, get an estimate from me first so you know what to expect.","Go to Products|Create Account|Calculate a whole hog","ordering|process"
ordering-account,Do I Need an Account,"do i need an account|sign up|create account|account required|guest checkout","Yes — you need a customer account to complete checkout on the website. It's quick to set up and lets you track orders. Hit the Account link in the nav to register.","Create Account|Go to Products","ordering|account"
ordering-lead-time,How Long Does It Take,"how long does it take|lead time|when will i get my meat|wait time|processing schedule","Lead times are shown on each product listing. Typically 1–3 weeks depending on production schedule. Dominic will follow up once your order is scheduled with the processor.","Go to Products|Contact Us","ordering|timing"
ordering-reservation,How to Reserve,"how to reserve|hold my spot|reserve an order|put my name down|lock in my order","To reserve, contact Dominic directly at (660) 254-6226 or shilohridgefarm@gmail.com. He'll confirm availability and deposit requirements.","Contact Us","ordering|reservation"
ordering-pickup-where,Where Do I Pick Up,"where do i pick up|pickup location|where to get my order|pickup address","Meat orders are typically picked up directly from the processor once ready. Dominic will provide the specific location and timing when your order is scheduled.","Contact Us","ordering|pickup|logistics"
ordering-pickup-timing,How Is Pickup Scheduled,"how is pickup scheduled|when is pickup|pickup timing|when do i get it","Dominic will contact you directly to coordinate your pickup date and time once processing is complete. For livestock pickup, arrangements are made with Dominic directly.","Contact Us","ordering|pickup|scheduling"
ordering-someone-else,Can Someone Else Pick Up,"can someone else pick up|different person pickup|proxy pickup|pick up for me","Typically yes, with your prior coordination with Dominic. Make sure the person picking up knows the order details and has your confirmation. Contact Dominic to confirm.","Contact Us","ordering|pickup|logistics"
ordering-change,Can I Change My Order,"can i change my order|modify order|adjust my cut sheet|change cut choices","Contact Dominic as early as possible if you need to change your order or cut sheet. Changes before processing begins are usually possible — after scheduling, options narrow.","Contact Us","ordering|changes"
ordering-cancel,Can I Cancel,"can i cancel|cancel my order|back out|change my mind|cancellation policy","Contact Dominic as soon as possible if you need to cancel. Deposits are typically non-refundable once processing is scheduled.","Contact Us","ordering|cancellation|policy"
ordering-missed-pickup,Missed Pickup,"missed pickup|couldn't make it|need to reschedule|missed my pickup date","Call Dominic immediately at (660) 254-6226. Don't wait — processors have limited cold storage. We'll work something out, but the sooner you call the better.","Contact Us","ordering|pickup|emergency"
cook-pork-chops,Cooking Pork Chops,"how to cook pork chops|pork chop recipe|grill pork chops|pan fry chops","Pork chops from a farm-raised hog are best grilled or pan-seared over high heat — 4–5 minutes per side for a 3/4-inch chop. Let them rest 3 minutes before cutting. Brining for an hour before cooking keeps them juicy.","Go to Products|Calculate a whole hog","cooking|pork|chops"
cook-shoulder,Cooking Pork Shoulder,"pork shoulder recipe|how to cook shoulder|pulled pork|slow cook shoulder","Pork shoulder is built for low-and-slow. Smoke at 225°F for 8–10 hours, or braise in the oven at 300°F for 4–5 hours until it pulls apart easily. Salt and pepper plus smoke does most of the work.","Calculate a whole hog","cooking|pork|shoulder"
cook-ham,Cooking Ham,"how to cook ham|ham recipe|bake a ham|fresh ham|cured ham","Fresh (uncured) ham roasts like a large pork roast — 325°F until internal temp hits 160°F. Cured hams can be baked low-and-slow with a glaze. Your cut sheet choice determines which type you get.","Calculate a whole hog","cooking|pork|ham"
cook-ribs,Cooking Ribs,"how to cook ribs|rib recipe|smoked ribs|pork ribs|bbq ribs","Low and slow is the only way. Smoke at 225°F for 4–5 hours (spare ribs) or 3–4 hours (baby backs) using the 3-2-1 method for tender results. Finish with a 10-minute glaze sear.","Calculate a whole hog","cooking|pork|ribs"
cook-bacon,Cooking Bacon,"how to cook bacon|bacon recipe|fry bacon|bake bacon|farm bacon","Farm bacon is thicker and meatier than grocery bacon. Cook low and slow in a cast iron pan for even rendering, or bake at 375°F on a rack for 20–25 minutes. The fat is worth saving.","Calculate a whole hog","cooking|pork|bacon"
cook-sausage,Cooking Sausage,"how to cook sausage|sausage recipe|fresh sausage|breakfast sausage|fry sausage","Fresh sausage is best pan-fried over medium heat until cooked through — 10–12 minutes, turning frequently. Don't rush it or the casing bursts. Links also grill well over indirect heat.","Calculate a whole hog","cooking|pork|sausage"
cook-lamb-chops,Cooking Lamb Chops,"how to cook lamb chops|loin chops lamb|grill lamb chops|pan sear lamb chops","Loin chops and rib chops grill beautifully — high heat, 3–4 minutes per side for medium-rare. Season simply: salt, pepper, garlic, rosemary. Rest 5 minutes before serving.","Calculate a whole lamb","cooking|lamb|chops"
cook-lamb-roast,Cooking Lamb Roast,"how to cook lamb roast|leg of lamb|roast lamb|lamb leg recipe","Leg of lamb roasts at 325°F — about 20 minutes per pound for medium (145°F internal). Stud with garlic cloves, rub with olive oil, salt, pepper, and rosemary. Let it rest 15 minutes before carving.","Calculate a whole lamb","cooking|lamb|roast"
cook-lamb-shanks,Cooking Lamb Shanks,"how to cook lamb shanks|lamb shank recipe|braise lamb shanks|slow cook shanks","Lamb shanks are best braised — brown first in a Dutch oven, then cook low and slow in stock or wine at 325°F for 2.5–3 hours until the meat falls off the bone. Rich and deeply flavorful.","Calculate a whole lamb","cooking|lamb|shanks"
cook-ground,Cooking Ground Meat,"how to cook ground lamb|ground pork|ground meat recipe|use ground lamb|use ground pork","Ground lamb and pork are incredibly versatile — burgers, meatballs, pasta sauce, shepherd's pie, meatloaf. Farm-raised ground meat has better fat content and flavor than commercial.","Calculate a whole lamb|Calculate a whole hog","cooking|ground|versatile"
cook-rack-of-lamb,Rack of Lamb,"rack of lamb|how to cook rack of lamb|lamb rack recipe|roast rack","Rack of lamb is a showstopper — French the bones, sear in a hot pan, coat with a herb crust, then roast at 400°F for 15–20 minutes to medium-rare (130°F internal). Rest 5 minutes, carve between bones.","Calculate a whole lamb","cooking|lamb|rack"
cook-hocks,Cooking Hocks,"pork hocks|how to cook hocks|ham hocks|smoked hocks","Hocks are collagen-rich — perfect for low-and-slow braises, bean soups, or collard greens. Smoke them first if you want extra depth. Long, slow cooking is the only way to unlock their flavor.","Calculate a whole hog","cooking|pork|hocks"
trust-why-local,Why Buy Local Meat,"why buy local|local farm meat|why not grocery store|why support local farm|local vs store","Local farm meat is traceable, raised by someone you can call by name, processed at a known facility, and genuinely different from commodity product. You're getting real food and supporting a Missouri family farm.","Tell Me About the Farm|Go to Products","trust|local|value"
trust-vs-grocery,Farm vs Grocery Store,"farm vs grocery|how different from store|better than grocery|farm raised vs commercial","Grocery store pork and lamb is typically commodity product — raised in bulk, processed at large facilities, often shipped a long way. Shiloh Ridge meat comes from animals raised on one farm, processed locally, and sold directly to you.","Why Buy Local?|Go to Products","trust|comparison|value"
trust-farm-raised,What Farm Raised Means,"what does farm raised mean|farm to table|direct from farm|traceable meat","Farm-raised here means: raised at Shiloh Ridge Farm in Maitland, Missouri, by Dominic Hanway — not a USDA category or marketing label. You can see where it came from, who raised it, and how it was cared for.","Tell Me About the Farm|Go to Products","trust|education|farm-raised"
trust-know-farmer,Can I Talk to the Farmer,"can i talk to the farmer|contact the farmer|speak to dominic|who raised this","Yes — Dominic Hanway owns and operates Shiloh Ridge. Call (660) 254-6226 or email shilohridgefarm@gmail.com. He's not a corporate contact form.","Contact Us","trust|contact|lead-capture"
trust-returning,I Ordered Before,"i ordered before|returning customer|i've bought from you before|prior order|came back","Welcome back! If you share your email, I can pull up your prior order history. Otherwise, head to the Products page or contact Dominic directly to pick up where you left off.","Go to Products|Contact Us","trust|returning|profile"
trust-gift,Buy as a Gift,"buy as a gift|gift order|gifting farm meat|order for someone else|gift of meat","Farm-raised meat makes a genuinely useful gift. Coordinate the order through Dominic to make sure logistics work for whoever's receiving it.","Contact Us","trust|gift"
trust-first-order,First Order Guidance,"my first order|never done this before|new customer|how does it all work","Here's the short version: pick an order size (whole/half hog or lamb), get an estimate from me, book with Dominic, fill out a cut sheet, and pick up your packaged meat when it's ready. Want me to walk you through the estimate?","Calculate a whole hog|Calculate a whole lamb|Contact Us","trust|first-time|guidance"
trust-recommendation,What Do Most People Order,"what do people usually order|most popular|what's the most common order|what do you recommend","For first-timers, a half hog is a comfortable start — enough meat to experience the variety without overcommitting your freezer. Whole hog is the better value if you have the space. Many families add a whole lamb for variety.","Calculate a half hog|Calculate a whole lamb","trust|recommendation|guidance"
boundary-livestock,Livestock Questions,"do you have rams|do you have ewes|sheep for sale|livestock available|animals for sale|breeding stock|buy a sheep|buy a lamb live","Live livestock questions go to Shep — that's his department. I handle processed meat products. Ask Shep for live animal availability.","Ask Shep|View Livestock","boundaries|livestock|redirect"
boundary-breeding,Breeding Stock,"breeding stock|khsi|registered sheep|pedigree|flock genetics|buy breeding animals","Breeding stock and registered animal questions are Shep's territory, not mine. I handle meat products only. Ask Shep or contact Dominic directly.","Ask Shep|Contact Us","boundaries|breeding|redirect"
boundary-dogs,Guardian Dogs,"great pyrenees|guardian dog|lgd|livestock guardian|puppy|dog for sale","Questions about Great Pyrenees guardian dogs go to Shep — he covers the livestock side. I'm strictly meat products.","Ask Shep|View Livestock","boundaries|dogs|redirect"
boundary-live-chickens,Live Chickens,"live chickens|heritage chickens for sale|buy chickens|chicks","Live chicken questions belong with Shep. I handle processed products, including eggs on the Products page.","Ask Shep|Go to Products","boundaries|chickens|redirect"
boundary-admin,Admin / Account Questions,"admin|staff login|admin panel|backend|internal|order status admin|account settings","I can't access admin systems or internal accounts. For account help, use the Account page or contact Dominic.","Contact Us","boundaries|admin|safety"
boundary-private,Private or Personal Data,"customer records|private data|someone else's order|other buyer's info|personal information","I don't have access to other customers' records. For your own order questions, contact Dominic directly.","Contact Us","boundaries|privacy|safety"
boundary-off-topic,Off-Topic Questions,"weather|sports|news|not about meat|unrelated|something else","I'm only equipped for Shiloh Ridge Farm product questions. For anything else, I'm not your guy.","Go to Products|Ask Shep","boundaries|off-topic|safety"
boundary-vet,Animal Health Questions,"is the animal healthy|animal health|sick animal|medications|vet questions|vaccination","I can't speak to individual animal health. For specific health records, contact Dominic. For a sick animal in your care, contact a licensed vet.","Contact Us","boundaries|health|disclaimer"
boundary-no-invent,Can't Confirm Without Live Data,"exact price|exact weight|exact date|current stock|confirm for sure|guarantee me","I work from planning estimates, not live data. For confirmed pricing, current stock, or exact scheduling, contact Dominic — he has the real numbers.","Contact Us|Go to Products","boundaries|disclaimer|live-data"
freezer-multiple,Stocking Multiple Animals,"buying hog and lamb|multiple animals|order both|more than one animal|combo order","Buying a whole hog and whole lamb together is a great combination — pork variety plus lamb for a change of pace. Plan for 10–13 cubic feet of freezer space total. Budget-wise, it's a full year of protein for most families.","Calculate a whole hog|Calculate a whole lamb","freezer|planning|combo"
pork-whole-hog-value,Whole Hog Value,"is whole hog worth it|value of whole hog|cost effective|best bang for buck|worth buying whole","Whole hog is the best per-pound value of any order size. You get variety (chops, roasts, bacon, ribs, sausage, hams), plus you control how every cut is done. For a family with freezer space, it's hard to beat.","Calculate a whole hog|How much freezer space?","pork|value|buying"
ordering-products-page,Go to Products Page,"where is the products page|products page|how do i see what you sell|shop online|product listing|what lamb products|what lamb do you sell|lamb products|what pork products|pork products","The Products page has all current listings — whole and half hog, whole and half lamb, eggs, and heritage chickens. Each listing shows availability and pricing. Check there for what's currently available.","Go to Products","ordering|navigation|products"
